city,zip_code,region,municipality
Čitluk,18232,Zaječarski okrug,Opština Sokobanja
Čitluk,37208,Rasinski okrug,Opština Kruševac
Čoka,23320,Severnobanatski okrug,Opština Čoka
Čonoplja,25210,Zapadnobački okrug,Opština Sombor
Čortanovci,22326,Sremski okrug,Opština Inđija
Čukojevac,36220,Raški okrug,Opština Kraljevo
Čumić,34322,Šumadijski okrug,Opština Kragujevac
Čurug,21238,Južnobački okrug,Opština Žabalj
Džep,17514,Pčinjski okrug,Opština Vladičin Han
Džigolj,18405,Toplički okrug,Opština Prokuplje
Šabac,15000,Mačvanski okrug,Opština Šabac
Šajkaš,21244,Južnobački okrug,Opština Titel
Šarbanovac,19373,Borski okrug,Opština Bor
Šarbanovac-Timok,19379,Borski okrug,Opština Bor
Šašinci,22425,Sremski okrug,Opština Sremska Mitrovica
Šepšin,11433,Grad Beograd,Opština Mladenovac
Šetonje,12309,Braničevski okrug,Opština Petrovac Na Mlavi
Šid,22239,Sremski okrug,Opština Šid
Šilovo,38252,Kosovskopomoravski okrug,Opština Gnjilane
Šimanovci,22310,Sremski okrug,Opština Pećinci
Šljivovac,34219,Šumadijski okrug,Opština Kragujevac
Šljivovica,31244,Zlatiborski okrug,Opština Čajetina
Šljivovo,37239,Rasinski okrug,Opština Aleksandrovac
Štavalj,36311,Zlatiborski okrug,Opština Sjenica
Štitar,15354,Mačvanski okrug,Opština Šabac
Štitare,36314,Raški okrug,Opština Novi Pazar
Štrpce,38236,Kosovski okrug,Opština Štrpce
Štubik,19303,Borski okrug,Opština Negotin
Šupljak,24418,Severnobački okrug,Opština Subotica
Šurjan,23254,Srednjobanatski okrug,Opština Sečanj
Grocka,11306,Grad Beograd,Opština Grocka
Surčin,11271,Grad Beograd,Opština Surčin
Batajnica,11273,Grad Beograd,Opština Zemun
Beograd (savski venac),11000,Grad Beograd,Opština Savski Venac
Beograd (stari grad),11000,Grad Beograd,Opština Stari Grad
Beograd (vračar),11000,Grad Beograd,Opština Vračar
Beograd (voždovac),11010,Grad Beograd,Opština Voždovac
Beograd (čukarica),11030,Grad Beograd,Opština Čukarica
Beograd (zvezdara),11050,Grad Beograd,Opština Zvezdara
Beograd (palilula),11060,Grad Beograd,Opština Palilula (beograd)
Beograd (novi Beograd),11070,Grad Beograd,Opština Novi Beograd
Beograd (zemun),11080,Grad Beograd,Opština Zemun
Beograd (rakovica),11090,Grad Beograd,Opština Rakovica
Topola (Selo),0,Šumadijski okrug,Opština Topola
Vrčin,0,Grad Beograd,Opština Grocka
Boleč,0,Grad Beograd,Opština Grocka
Krćevac,0,Šumadijski okrug,Opština Topola
Nemenikuće,0,Grad Beograd,Opština Sopot
Popović,0,Grad Beograd,Opština Sopot
Mala Ivanča,0,Grad Beograd,Opština Sopot
Đurinci,0,Grad Beograd,Opština Sopot
Amerić,0,Grad Beograd,Opština Mladenovac
Leštane,0,Grad Beograd,Opština Grocka
Vinča,0,Grad Beograd,Opština Grocka
Dražanj,0,Grad Beograd,Opština Grocka
Slanci,0,Grad Beograd,Opština Palilula (beograd)
Veliko Selo,0,Grad Beograd,Opština Palilula (beograd)
Ritopek,0,Grad Beograd,Opština Grocka
Mala Vrbica,0,Grad Beograd,Opština Mladenovac
Zaklopača,0,Grad Beograd,Opština Grocka
Rajkovac,0,Grad Beograd,Opština Mladenovac
Senaja,0,Grad Beograd,Opština Mladenovac
Begaljica,0,Grad Beograd,Opština Grocka
Šipačina,0,Raški okrug,Opština Raška
Kovači,0,Raški okrug,Opština Raška
Borovo,0,Raški okrug,Opština Kraljevo
Ribnica,0,Raški okrug,Opština Kraljevo
Kovanluk,0,Raški okrug,Opština Kraljevo
Oplanići,0,Raški okrug,Opština Kraljevo
Metikoš,0,Raški okrug,Opština Kraljevo
Dragosinjci,0,Raški okrug,Opština Kraljevo
Boće,0,Raški okrug,Opština Raška
Šumarice,0,Raški okrug,Opština Kraljevo
Vraneši,0,Raški okrug,Opština Vrnjačka Banja
Milavčići,0,Raški okrug,Opština Kraljevo
Pečenog,0,Raški okrug,Opština Kraljevo
Dobrača,0,Šumadijski okrug,Opština Kragujevac
Vukušica,0,Raški okrug,Opština Vrnjačka Banja
Milakovac,0,Raški okrug,Opština Kraljevo
Gračac,0,Raški okrug,Opština Vrnjačka Banja
Goč,0,Raški okrug,Opština Vrnjačka Banja
Rsavci,0,Raški okrug,Opština Vrnjačka Banja
Godačica,0,Raški okrug,Opština Kraljevo
Rokci,0,Rasinski okrug,Opština Aleksandrovac
Rogavčina,0,Rasinski okrug,Opština Aleksandrovac
Kriva Reka,0,Rasinski okrug,Opština Brus
Lipova,0,Raški okrug,Opština Vrnjačka Banja
Stanišinci,0,Raški okrug,Opština Vrnjačka Banja
Bzenice,0,Rasinski okrug,Opština Aleksandrovac
Maskar,0,Šumadijski okrug,Opština Topola
Guncati,0,Šumadijski okrug,Opština Knić
Žunje,0,Šumadijski okrug,Opština Knić
Pajsijević,0,Šumadijski okrug,Opština Knić
Dragušica,0,Šumadijski okrug,Opština Knić
Grivac,0,Šumadijski okrug,Opština Knić
Dubrava,0,Šumadijski okrug,Opština Knić
Veliki Šenj,0,Šumadijski okrug,Opština Kragujevac
Božurnja,0,Šumadijski okrug,Opština Topola
Vlakča,0,Šumadijski okrug,Opština Kragujevac
Ovsište,0,Šumadijski okrug,Opština Topola
Zagorica,0,Šumadijski okrug,Opština Topola
Žabare,0,Šumadijski okrug,Opština Topola
Vučkovica,0,Šumadijski okrug,Opština Knić
Mironić,0,Šumadijski okrug,Opština Kragujevac
Rogojevac,0,Šumadijski okrug,Opština Kragujevac
Kutlovo,0,Šumadijski okrug,Opština Kragujevac
Balosave,0,Šumadijski okrug,Opština Knić
Čestin,0,Šumadijski okrug,Opština Knić
Prekopeča,0,Šumadijski okrug,Opština Kragujevac
Rabrovac,0,Grad Beograd,Opština Mladenovac
Šume,0,Šumadijski okrug,Opština Topola
Dobrače,0,Zlatiborski okrug,Opština Arilje
Mladenovac (Selo),0,Grad Beograd,Opština Mladenovac
Granice,0,Grad Beograd,Opština Mladenovac
Dubona,0,Grad Beograd,Opština Mladenovac
Umčari,0,Grad Beograd,Opština Grocka
Pudarci,0,Grad Beograd,Opština Grocka
Kamendol,0,Grad Beograd,Opština Grocka
Brestovik,0,Grad Beograd,Opština Grocka
Badljevica,0,Podunavski okrug,Opština Smederevo
Petropolje,0,Raški okrug,Opština Kraljevo
Vrbeta,0,Šumadijski okrug,Opština Knić
Lipnica,0,Šumadijski okrug,Opština Knić
Đuriselo,0,Šumadijski okrug,Opština Kragujevac
Gornje Grbice,0,Šumadijski okrug,Opština Kragujevac
Drača,0,Šumadijski okrug,Opština Kragujevac
Poskurice,0,Šumadijski okrug,Opština Kragujevac
Landol,0,Podunavski okrug,Opština Smederevo
Saranovo,0,Šumadijski okrug,Opština Rača
Kloka,0,Šumadijski okrug,Opština Topola
Adžine Livade,0,Šumadijski okrug,Opština Kragujevac
Opornica,0,Šumadijski okrug,Opština Kragujevac
Gornje Jarušice,0,Šumadijski okrug,Opština Kragujevac
Bašin,0,Podunavski okrug,Opština Smederevska Palanka
Sepci,0,Šumadijski okrug,Opština Rača
Veliko Krčmare,0,Šumadijski okrug,Opština Rača
Borci,0,Šumadijski okrug,Opština Rača
Mramorac,0,Podunavski okrug,Opština Smederevska Palanka
Glibovac,0,Podunavski okrug,Opština Smederevska Palanka
Beluće,0,Grad Beograd,Opština Mladenovac
Malo Orašje,0,Podunavski okrug,Opština Smederevo
Sovljak,0,Kolubarski okrug,Opština Ub
Seone,0,Podunavski okrug,Opština Smederevo
Udovice,0,Podunavski okrug,Opština Smederevo
Binovac,0,Podunavski okrug,Opština Smederevo
Petrijevo,0,Podunavski okrug,Opština Smederevo
Trebinje,0,Toplički okrug,Opština Kuršumlija
Grčak,0,Rasinski okrug,Opština Aleksandrovac
Botunja,0,Rasinski okrug,Opština Brus
Dulene,0,Šumadijski okrug,Opština Kragujevac
Banatsko Višnjićevo,0,Srednjobanatski okrug,Opština Žitište
Štava,0,Toplički okrug,Opština Kuršumlija
Livađe,0,Rasinski okrug,Opština Brus
Velike Pčelice,0,Šumadijski okrug,Opština Kragujevac
Graševci,0,Rasinski okrug,Opština Brus
Vitoše,0,Rasinski okrug,Opština Brus
Kovizle,0,Rasinski okrug,Opština Brus
Koznica,0,Rasinski okrug,Opština Aleksandrovac
Gornje Leviće,0,Rasinski okrug,Opština Brus
Ruđinci,0,Raški okrug,Opština Vrnjačka Banja
Štulac,0,Raški okrug,Opština Vrnjačka Banja
Boturići,0,Rasinski okrug,Opština Aleksandrovac
Budilovina,0,Rasinski okrug,Opština Brus
Sudimlja,0,Rasinski okrug,Opština Brus
Lozna,0,Rasinski okrug,Opština Trstenik
Stublica,0,Rasinski okrug,Opština Trstenik
Nadrlje,0,Pomoravski okrug,Opština Rekovac
Seoce,0,Toplički okrug,Opština Kuršumlija
Latkovac,0,Rasinski okrug,Opština Aleksandrovac
Žiljci,0,Rasinski okrug,Opština Brus
Puhovac,0,Rasinski okrug,Opština Aleksandrovac
Velja Glava,0,Rasinski okrug,Opština Aleksandrovac
Drenova,0,Rasinski okrug,Opština Brus
Popovci,0,Rasinski okrug,Opština Aleksandrovac
Kožetin,0,Rasinski okrug,Opština Aleksandrovac
Raklja,0,Rasinski okrug,Opština Aleksandrovac
Prnjavor,0,Rasinski okrug,Opština Trstenik
Čairi,0,Rasinski okrug,Opština Trstenik
Božurevac,0,Rasinski okrug,Opština Trstenik
Sibnica,0,Pomoravski okrug,Opština Rekovac
Žarevo,0,Rasinski okrug,Opština Brus
Tršanovci,0,Rasinski okrug,Opština Brus
Mala Vrbnica,0,Rasinski okrug,Opština Brus
Drenča,0,Rasinski okrug,Opština Aleksandrovac
Ržanica,0,Rasinski okrug,Opština Aleksandrovac
Batote,0,Rasinski okrug,Opština Brus
Igroš,0,Rasinski okrug,Opština Brus
Parčin,0,Rasinski okrug,Opština Aleksandrovac
Ljubinci,0,Rasinski okrug,Opština Aleksandrovac
Riđevštica,0,Rasinski okrug,Opština Trstenik
Mijajlovac,0,Rasinski okrug,Opština Trstenik
Kaludra,0,Pomoravski okrug,Opština Rekovac
Mala Sugubina,0,Rasinski okrug,Opština Trstenik
Rudenice,0,Rasinski okrug,Opština Aleksandrovac
Levići,0,Rasinski okrug,Opština Trstenik
Gledić,0,Raški okrug,Opština Kraljevo
Bajčetina,0,Šumadijski okrug,Opština Knić
Baljkovac,0,Šumadijski okrug,Opština Kragujevac
Pridvorice,0,Podunavski okrug,Opština Smederevska Palanka
Miraševac,0,Šumadijski okrug,Opština Rača
Viševac,0,Šumadijski okrug,Opština Rača
Baničina,0,Podunavski okrug,Opština Smederevska Palanka
Vodice,0,Podunavski okrug,Opština Smederevska Palanka
Trmbas,0,Šumadijski okrug,Opština Kragujevac
Vučić,0,Šumadijski okrug,Opština Rača
Stojačak,0,Podunavski okrug,Opština Smederevska Palanka
Mali Miraševac,0,Šumadijski okrug,Opština Rača
Vlaški Do,0,Podunavski okrug,Opština Smederevska Palanka
Lunjevac,0,Podunavski okrug,Opština Smederevo
Vučak,0,Podunavski okrug,Opština Smederevo
Dankoviće,0,Toplički okrug,Opština Kuršumlija
Grčac,0,Podunavski okrug,Opština Smederevska Palanka
Bačinac,0,Podunavski okrug,Opština Smederevska Palanka
Botunje,0,Šumadijski okrug,Opština Kragujevac
Gornje Komarice,0,Šumadijski okrug,Opština Kragujevac
Županjevac,0,Pomoravski okrug,Opština Rekovac
Velika Sugubina,0,Šumadijski okrug,Opština Kragujevac
Ratković,0,Pomoravski okrug,Opština Rekovac
Nikšić,0,Šumadijski okrug,Opština Batočina
Trska,0,Šumadijski okrug,Opština Rača
Donja Rača,0,Šumadijski okrug,Opština Rača
Crni Kao,0,Šumadijski okrug,Opština Batočina
Rakinac,0,Podunavski okrug,Opština Velika Plana
Donje Komarice,0,Šumadijski okrug,Opština Kragujevac
Motrić,0,Pomoravski okrug,Opština Rekovac
Lomnica,0,Pomoravski okrug,Opština Rekovac
Cikot,0,Pomoravski okrug,Opština Rekovac
Dobrovodica,0,Šumadijski okrug,Opština Batočina
Kijevo,0,Šumadijski okrug,Opština Batočina
Mačkovac,0,Rasinski okrug,Opština Kruševac
Kulič,0,Podunavski okrug,Opština Smederevo
Šalinac,0,Podunavski okrug,Opština Smederevo
Batovac,0,Braničevski okrug,Opština Požarevac
Brežane,0,Braničevski okrug,Opština Požarevac
Dragovac,0,Braničevski okrug,Opština Požarevac
Malo Bavanište,0,Južnobanatski okrug,Opština Kovin
Vlahinja,0,Toplički okrug,Opština Kuršumlija
Dupci,0,Rasinski okrug,Opština Brus
Gornje Rataje,0,Rasinski okrug,Opština Aleksandrovac
Strojinci,0,Rasinski okrug,Opština Brus
Žilinci,0,Rasinski okrug,Opština Brus
Donje Rataje,0,Rasinski okrug,Opština Aleksandrovac
Zlatari,0,Rasinski okrug,Opština Brus
Novaci,0,Rasinski okrug,Opština Aleksandrovac
Dašnica,0,Rasinski okrug,Opština Aleksandrovac
Srnje,0,Rasinski okrug,Opština Kruševac
Donja Omašnica,0,Rasinski okrug,Opština Trstenik
Stari Trstenik,0,Rasinski okrug,Opština Trstenik
Golubovac,0,Rasinski okrug,Opština Trstenik
Grkljane,0,Rasinski okrug,Opština Kruševac
Mala Kruševica,0,Rasinski okrug,Opština Varvarin
Gornji Krčin,0,Rasinski okrug,Opština Varvarin
Sagonjevo,0,Toplički okrug,Opština Kuršumlija
Kovioci,0,Rasinski okrug,Opština Brus
Gornja Zleginja,0,Rasinski okrug,Opština Aleksandrovac
Donja Zleginja,0,Rasinski okrug,Opština Aleksandrovac
Laćisled,0,Rasinski okrug,Opština Aleksandrovac
Garevina,0,Rasinski okrug,Opština Aleksandrovac
Donji Stupanj,0,Rasinski okrug,Opština Aleksandrovac
Selište,0,Rasinski okrug,Opština Trstenik
Mrmoš,0,Rasinski okrug,Opština Aleksandrovac
Komorane,0,Rasinski okrug,Opština Kruševac
Vrbnica,0,Rasinski okrug,Opština Aleksandrovac
Brajkovac,0,Rasinski okrug,Opština Kruševac
Ljubava,0,Rasinski okrug,Opština Kruševac
Sekurič,0,Pomoravski okrug,Opština Rekovac
Konjuva,0,Toplički okrug,Opština Kuršumlija
Perunika,0,Toplički okrug,Opština Kuršumlija
Šatra,0,Toplički okrug,Opština Kuršumlija
Baćoglava,0,Toplički okrug,Opština Kuršumlija
Gornja Mikuljana,0,Toplički okrug,Opština Kuršumlija
Krtok,0,Toplički okrug,Opština Kuršumlija
Spance,0,Toplički okrug,Opština Kuršumlija
Ravni Šort,0,Toplički okrug,Opština Kuršumlija
Mala Kosanica,0,Toplički okrug,Opština Kuršumlija
Pljakovo,0,Toplički okrug,Opština Kuršumlija
Rudare,0,Toplički okrug,Opština Kuršumlija
Više Selo,0,Toplički okrug,Opština Blace
Donja Rašica,0,Toplički okrug,Opština Blace
Drešnica,0,Toplički okrug,Opština Blace
Majdevo,0,Rasinski okrug,Opština Kruševac
Suvaja,0,Rasinski okrug,Opština Kruševac
Sebečevac,0,Rasinski okrug,Opština Kruševac
Džepnica,0,Toplički okrug,Opština Blace
Trbunje,0,Toplički okrug,Opština Blace
Mali Kupci,0,Rasinski okrug,Opština Kruševac
Veliki Kupci,0,Rasinski okrug,Opština Kruševac
Doljane,0,Rasinski okrug,Opština Kruševac
Trebotin,0,Rasinski okrug,Opština Kruševac
Kamenare,0,Rasinski okrug,Opština Kruševac
Parcane,0,Rasinski okrug,Opština Varvarin
Pajkovac,0,Rasinski okrug,Opština Varvarin
Toljevac,0,Rasinski okrug,Opština Varvarin
Koševi,0,Rasinski okrug,Opština Kruševac
Krvavica,0,Rasinski okrug,Opština Kruševac
Šašilovac,0,Rasinski okrug,Opština Kruševac
Globare,0,Rasinski okrug,Opština Kruševac
Zalogovac,0,Rasinski okrug,Opština Varvarin
Marenovo,0,Rasinski okrug,Opština Varvarin
Popova,0,Toplički okrug,Opština Blace
Jablanica,0,Rasinski okrug,Opština Kruševac
Tmava,0,Toplički okrug,Opština Kuršumlija
Šavrane,0,Rasinski okrug,Opština Kruševac
Vranovac,0,Pomoravski okrug,Opština Jagodina
Naupare,0,Rasinski okrug,Opština Kruševac
Meševo,0,Rasinski okrug,Opština Kruševac
Cerova,0,Rasinski okrug,Opština Kruševac
Begovo Brdo,0,Rasinski okrug,Opština Kruševac
Cernica,0,Rasinski okrug,Opština Varvarin
Izbenica,0,Rasinski okrug,Opština Varvarin
Belica,0,Pomoravski okrug,Opština Jagodina
Mišević,0,Pomoravski okrug,Opština Jagodina
Strižilo,0,Pomoravski okrug,Opština Jagodina
Tečić,0,Pomoravski okrug,Opština Rekovac
Ursule,0,Pomoravski okrug,Opština Rekovac
Gornje Štiplje,0,Pomoravski okrug,Opština Jagodina
Lovci,0,Pomoravski okrug,Opština Jagodina
Kalenovac,0,Pomoravski okrug,Opština Jagodina
Crnče,0,Pomoravski okrug,Opština Jagodina
Donja Livadica,0,Podunavski okrug,Opština Velika Plana
Vukmanovac,0,Pomoravski okrug,Opština Rekovac
Šantarovac,0,Pomoravski okrug,Opština Jagodina
Gornji Račnik,0,Pomoravski okrug,Opština Jagodina
Donje Štiplje,0,Pomoravski okrug,Opština Jagodina
Šuljkovac,0,Pomoravski okrug,Opština Jagodina
Međureč,0,Pomoravski okrug,Opština Jagodina
Gložane,0,Pomoravski okrug,Opština Svilajnac
Crkvenac,0,Pomoravski okrug,Opština Svilajnac
Radošin,0,Pomoravski okrug,Opština Svilajnac
Trnovče,0,Podunavski okrug,Opština Velika Plana
Živica,0,Braničevski okrug,Opština Požarevac
Ostrovo,0,Braničevski okrug,Opština Kostolac
Šušara,0,Južnobanatski okrug,Opština Vršac
Petka,0,Braničevski okrug,Opština Kostolac
Šumarak,0,Južnobanatski okrug,Opština Kovin
Lučica,0,Braničevski okrug,Opština Požarevac
Prugovo,0,Braničevski okrug,Opština Požarevac
Trnava,0,Pomoravski okrug,Opština Jagodina
Ćirikovac,0,Braničevski okrug,Opština Požarevac
Klenovnik,0,Braničevski okrug,Opština Kostolac
Brzohode,0,Braničevski okrug,Opština Žabari
Selo Kostolac,0,Braničevski okrug,Opština Kostolac
Medojevac,0,Pomoravski okrug,Opština Jagodina
Ribnik,0,Pomoravski okrug,Opština Jagodina
Vinorača,0,Pomoravski okrug,Opština Jagodina
Voljavče,0,Pomoravski okrug,Opština Jagodina
Bukovče,0,Pomoravski okrug,Opština Jagodina
Novo Lanište,0,Pomoravski okrug,Opština Jagodina
Staro Lanište,0,Pomoravski okrug,Opština Jagodina
Crni Lug,0,Pčinjski okrug,Opština Vranje
Bresje,0,Pomoravski okrug,Opština Svilajnac
Trpeze,0,Toplički okrug,Opština Kuršumlija
Vrlane,0,Pomoravski okrug,Opština Svilajnac
Četereže,0,Braničevski okrug,Opština Žabari
Kočino Selo,0,Pomoravski okrug,Opština Jagodina
Rakitovo,0,Pomoravski okrug,Opština Jagodina
Mali Popović,0,Pomoravski okrug,Opština Jagodina
Viteževo,0,Braničevski okrug,Opština Žabari
Dobra Voda,0,Pomoravski okrug,Opština Jagodina
Troponje,0,Pomoravski okrug,Opština Svilajnac
Bošnjak,0,Braničevski okrug,Opština Petrovac Na Mlavi
Simićevo,0,Braničevski okrug,Opština Žabari
Oreovica,0,Braničevski okrug,Opština Žabari
Maljurevac,0,Braničevski okrug,Opština Požarevac
Polatna,0,Braničevski okrug,Opština Žabari
Bubušinac,0,Braničevski okrug,Opština Požarevac
Bratinac,0,Braničevski okrug,Opština Požarevac
Drmno,0,Braničevski okrug,Opština Požarevac
Kajtasovo,0,Južnobanatski okrug,Opština Bela Crkva
Parta,0,Južnobanatski okrug,Opština Vršac
Salakovac,0,Braničevski okrug,Opština Malo Crniće
Mirijevo,0,Braničevski okrug,Opština Žabari
Svinjarevo,0,Braničevski okrug,Opština Žabari
Kočetin,0,Braničevski okrug,Opština Žabari
Orljevo,0,Braničevski okrug,Opština Petrovac Na Mlavi
Veliko Crniće,0,Braničevski okrug,Opština Malo Crniće
Orešac,0,Južnobanatski okrug,Opština Vršac
Dužine,0,Južnobanatski okrug,Opština Plandište
Markovićevo,0,Južnobanatski okrug,Opština Plandište
Banatski Sokolac,0,Južnobanatski okrug,Opština Plandište
Samoljica,0,Pčinjski okrug,Opština Bujanovac
Letovica,0,Pčinjski okrug,Opština Bujanovac
Oraovica,0,Pčinjski okrug,Opština Preševo
Gospođince,0,Pčinjski okrug,Opština Preševo
Dobrosin,0,Pčinjski okrug,Opština Bujanovac
Rajince,0,Pčinjski okrug,Opština Preševo
Gramada,0,Pčinjski okrug,Opština Bujanovac
Čukarka,0,Pčinjski okrug,Opština Preševo
Aliđerce,0,Pčinjski okrug,Opština Preševo
Golemi Dol,0,Pčinjski okrug,Opština Preševo
Reljan,0,Pčinjski okrug,Opština Preševo
Nesalce,0,Pčinjski okrug,Opština Bujanovac
Bratoselce,0,Pčinjski okrug,Opština Bujanovac
Buštranje,0,Pčinjski okrug,Opština Preševo
Levosoje,0,Pčinjski okrug,Opština Bujanovac
Ljiljance,0,Pčinjski okrug,Opština Bujanovac
Davidovac,0,Pčinjski okrug,Opština Vranje
Vrtogoš,0,Pčinjski okrug,Opština Vranje
Karadnik,0,Pčinjski okrug,Opština Bujanovac
Trejak,0,Pčinjski okrug,Opština Bujanovac
Starac,0,Pčinjski okrug,Opština Bujanovac
Pavlovac,0,Pčinjski okrug,Opština Vranje
Dubnica,0,Pčinjski okrug,Opština Vranje
Donji Neradovac,0,Pčinjski okrug,Opština Vranje
Stropsko,0,Pčinjski okrug,Opština Vranje
Gornji Neradovac,0,Pčinjski okrug,Opština Vranje
Soderce,0,Pčinjski okrug,Opština Vranje
Ribince,0,Pčinjski okrug,Opština Vranje
Baraljevac,0,Pčinjski okrug,Opština Bujanovac
Milanovo,0,Pčinjski okrug,Opština Vranje
Donje Žapsko,0,Pčinjski okrug,Opština Vranje
Buljesovce,0,Pčinjski okrug,Opština Vranje
Donje Trebešinje,0,Pčinjski okrug,Opština Vranje
Tibužde,0,Pčinjski okrug,Opština Vranje
Zlatokop,0,Pčinjski okrug,Opština Vranje
Ćukovac,0,Pčinjski okrug,Opština Vranje
Mečkovac,0,Pčinjski okrug,Opština Vranje
Suvi Dol,0,Pčinjski okrug,Opština Vranje
Bojin Del,0,Pčinjski okrug,Opština Vranje
Klašnice,0,Pčinjski okrug,Opština Vranje
Oblička Sena,0,Pčinjski okrug,Opština Vranje
Vladovce,0,Pčinjski okrug,Opština Trgovište
Bace,0,Toplički okrug,Opština Prokuplje
Surdul,0,Pčinjski okrug,Opština Vranje
Lazarica,0,Rasinski okrug,Opština Kruševac
Toplac,0,Pčinjski okrug,Opština Vranjska Banja
Kumarevo,0,Pčinjski okrug,Opština Vranjska Banja
Moštanica,0,Pčinjski okrug,Opština Vranje
Mazarać,0,Pčinjski okrug,Opština Vladičin Han
Široka Planina,0,Pčinjski okrug,Opština Trgovište
Šaprance,0,Pčinjski okrug,Opština Trgovište
Margance,0,Pčinjski okrug,Opština Trgovište
Dumbija,0,Pčinjski okrug,Opština Trgovište
Gornje Punuševce,0,Pčinjski okrug,Opština Vranje
Viševce,0,Pčinjski okrug,Opština Vranje
Bujkovac,0,Pčinjski okrug,Opština Vranjska Banja
Izumno,0,Pčinjski okrug,Opština Vranjska Banja
Barbarušince,0,Pčinjski okrug,Opština Vranje
Panevlje,0,Pčinjski okrug,Opština Vranjska Banja
Koćura,0,Pčinjski okrug,Opština Vranje
Nova Brezovica,0,Pčinjski okrug,Opština Vranje
Srednji Del,0,Pčinjski okrug,Opština Vranje
Lipovac,0,Pčinjski okrug,Opština Vranjska Banja
Prvonek,0,Pčinjski okrug,Opština Vranjska Banja
Klisurica,0,Pčinjski okrug,Opština Vranjska Banja
Donji Kozji Dol,0,Pčinjski okrug,Opština Trgovište
Zladovce,0,Pčinjski okrug,Opština Trgovište
Novi Glog,0,Pčinjski okrug,Opština Trgovište
Lesnica,0,Pčinjski okrug,Opština Trgovište
Kalovo,0,Pčinjski okrug,Opština Trgovište
Stari Glog,0,Pčinjski okrug,Opština Vranjska Banja
Babina Poljana,0,Pčinjski okrug,Opština Vranjska Banja
Gornja Ljubata,0,Pčinjski okrug,Opština Bosilegrad
Gornja Ržana,0,Pčinjski okrug,Opština Bosilegrad
Suvi Do,0,Toplički okrug,Opština Blace
Karamanica,0,Pčinjski okrug,Opština Bosilegrad
Doganica,0,Pčinjski okrug,Opština Bosilegrad
Nazarica,0,Pčinjski okrug,Opština Bosilegrad
Crnoštica,0,Pčinjski okrug,Opština Bosilegrad
Jarešnik,0,Pčinjski okrug,Opština Bosilegrad
Topli Dol,0,Pčinjski okrug,Opština Surdulica
Grevci,0,Rasinski okrug,Opština Kruševac
Vrševac,0,Toplički okrug,Opština Kuršumlija
Donja Lisina,0,Pčinjski okrug,Opština Bosilegrad
Milevci,0,Pčinjski okrug,Opština Bosilegrad
Donje Tlamino,0,Pčinjski okrug,Opština Bosilegrad
Brankovci,0,Pčinjski okrug,Opština Bosilegrad
Paralovo,0,Pčinjski okrug,Opština Bosilegrad
Buceljevo,0,Pčinjski okrug,Opština Bosilegrad
Rajčilovci,0,Pčinjski okrug,Opština Bosilegrad
Radičevci,0,Pčinjski okrug,Opština Bosilegrad
Grujinci,0,Pčinjski okrug,Opština Bosilegrad
Mlekominci,0,Pčinjski okrug,Opština Bosilegrad
Gari,0,Rasinski okrug,Opština Kruševac
Ribarci,0,Pčinjski okrug,Opština Bosilegrad
Mačja Stena,0,Toplički okrug,Opština Kuršumlija
Visoka,0,Toplički okrug,Opština Kuršumlija
Belo Polje,0,Toplički okrug,Opština Kuršumlija
Krčmare,0,Toplički okrug,Opština Kuršumlija
Prolom,0,Toplički okrug,Opština Kuršumlija
Donje Točane,0,Toplički okrug,Opština Kuršumlija
Pločnik,0,Toplički okrug,Opština Prokuplje
Dedinac,0,Toplički okrug,Opština Kuršumlija
Mala Braina,0,Jablanički okrug,Opština Medveđa
Mrkonje,0,Jablanički okrug,Opština Medveđa
Sponce,0,Jablanički okrug,Opština Medveđa
Čokotin,0,Jablanički okrug,Opština Medveđa
Ivan Kula,0,Toplički okrug,Opština Kuršumlija
Đake,0,Toplički okrug,Opština Kuršumlija
Svinjište,0,Toplički okrug,Opština Kuršumlija
Tovrljane,0,Toplički okrug,Opština Prokuplje
Bresnik,0,Toplički okrug,Opština Prokuplje
Gornja Konjuša,0,Toplički okrug,Opština Prokuplje
Vlasovo,0,Toplički okrug,Opština Prokuplje
Gornji Gajtan,0,Jablanički okrug,Opština Medveđa
Široke Njive,0,Toplički okrug,Opština Prokuplje
Miljkovica,0,Toplički okrug,Opština Prokuplje
Kačapor,0,Toplički okrug,Opština Blace
Pretrešnja,0,Toplički okrug,Opština Blace
Gornje Svarče,0,Toplički okrug,Opština Blace
Donje Svarče,0,Toplički okrug,Opština Blace
Buci,0,Rasinski okrug,Opština Kruševac
Trmčare,0,Rasinski okrug,Opština Kruševac
Sezemče,0,Rasinski okrug,Opština Kruševac
Donji Stepoš,0,Rasinski okrug,Opština Kruševac
Pakašnica,0,Rasinski okrug,Opština Kruševac
Mudrakovac,0,Rasinski okrug,Opština Kruševac
Roanda,0,Pomoravski okrug,Opština Svilajnac
Veliko Golovode,0,Rasinski okrug,Opština Kruševac
Đurinac,0,Pomoravski okrug,Opština Svilajnac
Malo Golovode,0,Rasinski okrug,Opština Kruševac
Modrica,0,Rasinski okrug,Opština Kruševac
Kapidžija,0,Rasinski okrug,Opština Kruševac
Dedina,0,Rasinski okrug,Opština Kruševac
Makrešane,0,Rasinski okrug,Opština Kruševac
Šanac,0,Rasinski okrug,Opština Kruševac
Dvorane,0,Rasinski okrug,Opština Kruševac
