city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bačka Topola,45.8167,19.6333,Serbia,RS,Bačka Topola,admin,11930,11930
Batočina,44.1500,21.0833,Serbia,RS,Batočina,admin,11760,11760
Blace,43.2958,21.2859,Serbia,RS,Blace,admin,11754,11754
Rača,44.2333,20.9833,Serbia,RS,Rača,admin,11475,11475
Malo Crniće,44.5667,21.2833,Serbia,RS,Malo Crniće,admin,11422,11422
Rekovac,43.8667,21.1333,Serbia,RS,Rekovac,admin,10971,10971
Bela Crkva,44.8975,21.4169,Serbia,RS,Bela Crkva,admin,10675,10675
Ada,45.8000,20.1333,Serbia,RS,Ada,admin,10547,10547
Vrnjačka Banja,43.6236,20.8936,Serbia,RS,Vrnjačka Banja,admin,10065,10065
Kanjiža,46.0667,20.0500,Serbia,RS,Kanjiža,admin,9871,9871
Ćuprija,43.9333,21.3667,Serbia,RS,Ćuprija,admin,9609,9609
Ćićevac,43.7167,21.4500,Serbia,RS,Ćićevac,admin,9446,9446
Žabalj,45.3667,20.0667,Serbia,RS,Žabalj,admin,9161,9161
Ražanj,43.6667,21.5500,Serbia,RS,Ražanj,admin,9150,9150
Odžaci,45.5167,19.2667,Serbia,RS,Odžaci,admin,9021,9021
Sremski Karlovci,45.2000,19.9333,Serbia,RS,Sremski Karlovci,admin,8750,8750
Gadžin Han,43.2228,22.0322,Serbia,RS,Gadžin Han,admin,8389,8389
Golubac,44.6500,21.6333,Serbia,RS,Golubac,admin,8331,8331
Beočin,45.2000,19.7333,Serbia,RS,Beočin,admin,8058,8058
Dimitrovgrad,43.0167,22.7833,Serbia,RS,Dimitrovgrad,admin,8043,8043
Sokobanja,43.6500,21.8667,Serbia,RS,Sokobanja,admin,7982,7982
Bački Petrovac,45.3606,19.5917,Serbia,RS,Bački Petrovac,admin,7452,7452
Lapovo,44.1833,21.1000,Serbia,RS,Lapovo,admin,7143,7143
Novi Kneževac,46.0500,20.1000,Serbia,RS,Novi Kneževac,admin,6960,6960
Bogatić,44.8333,19.4833,Serbia,RS,Bogatić,admin,6488,6488
Medveđa,42.8431,21.5847,Serbia,RS,Medveđa,admin,6360,6360
Ub,44.4561,20.0739,Serbia,RS,Ub,admin,6191,6191
Bač,45.3833,19.2333,Serbia,RS,Bač,admin,6087,6087
Mali Iđoš,45.7069,19.6644,Serbia,RS,Mali Iđoš,admin,5464,5464
Kovačica,45.1117,20.6214,Serbia,RS,Kovačica,admin,5398,5398
Irig,45.1000,19.8500,Serbia,RS,Irig,admin,4848,4848
Čoka,45.9333,20.1500,Serbia,RS,Čoka,admin,4707,4707
Opovo,45.0519,20.4303,Serbia,RS,Opovo,admin,4546,4546
Plandište,45.2269,21.1217,Serbia,RS,Plandište,admin,3832,3832
Alibunar,45.0806,20.9656,Serbia,RS,Alibunar,admin,3431,3431
Žitište,45.4833,20.5500,Serbia,RS,Žitište,admin,2903,2903
Nova Crnja,45.6667,20.6000,Serbia,RS,Nova Crnja,admin,1491,1491
Crna Trava,42.8101,22.2990,Serbia,RS,Crna Trava,admin,434,434
Obrenovac,44.6539,20.2000,Serbia,RS,Beograd,minor,,
Priboj,43.5836,19.5258,Serbia,RS,Priboj,admin,,
Požega,43.8459,20.0368,Serbia,RS,Požega,admin,,
Babušnica,43.0680,22.4115,Serbia,RS,Babušnica,admin,,
Ljubovija,44.1869,19.3728,Serbia,RS,Ljubovija,admin,,
Ljig,44.2213,20.2375,Serbia,RS,Ljig,admin,,
Mali Zvornik,44.3992,19.1214,Serbia,RS,Mali Zvornik,admin,,
Doljevac,43.1968,21.8334,Serbia,RS,Doljevac,admin,,
Boljevac,43.8247,21.9519,Serbia,RS,Boljevac,admin,,
Bojnik,43.0142,21.7180,Serbia,RS,Bojnik,admin,,
Koceljeva,44.4708,19.8070,Serbia,RS,Koceljeva,admin,,
Bosilegrad,42.5005,22.4728,Serbia,RS,Bosilegrad,admin,,
Žabari,44.3562,21.2143,Serbia,RS,Žabari,admin,,
Trgovište,42.3514,22.0921,Serbia,RS,Trgovište,admin,,
Žagubica,44.1979,21.7902,Serbia,RS,Žagubica,admin,,
Preševo,42.3067,21.6500,Serbia,RS,Preševo,admin,,
Sopot,44.5193,20.5758,Serbia,RS,Beograd,minor,,
Grocka,44.6720,20.7153,Serbia,RS,Beograd,minor,,
Barajevo,44.5790,20.4179,Serbia,RS,Beograd,minor,,
